#,Business Name (as given),Phone (as given),Verdict,Website Found,Address,Notes
1,Pastime Barbershop & Pool Hall,(615) 893-9808,HAS WEBSITE,pastimebarbershop.com,116 S Maple St Murfreesboro TN 37130,Oldest barbershop in town (1904) - site has online booking and a cart
2,Dolittles Barber Shop,(615) 439-6132,NO WEBSITE,,1115 N Maple St Murfreesboro TN 37130,Good lead - but listings show phone as (615) 867-0301; verify the number before calling
3,The Boro Barber and Beauty Lounge,(615) 956-7375,NO WEBSITE,,1637 Middle Tennessee Blvd Murfreesboro TN 37130,Good lead - 22 years in business - only a YellowPages listing online
4,Golden Caesar,(615) 603-7581,WRONG NAME + HAS WEBSITE,goldenscissorsmurfreesboro.com,1011 Memorial Blvd Murfreesboro TN 37129,No business by this name exists; the phone traces to Golden Scissors Barber Shop which has a site
5,J Kennon's Sharper Image,(615) 896-2944,NO WEBSITE,,110 Fairfax Ave Murfreesboro TN 37130,Good lead - directory listings only
6,Hair Productions,(615) 890-3687,HAS WEBSITE,hairproductions.com,1833 Memorial Blvd Murfreesboro TN 37129,Salon established 1989 - roughly 15 employees
7,Midtown Barbershop,(629) 201-5128,HAS WEBSITE,midtownbarber.com,520 W Lytle St Ste C-D Murfreesboro TN 37130,Owner Justin Mitchell - site also lists phone as (615) 648-2222
8,Murray's Place Barbershop,(615) 713-9594,NO WEBSITE,,701 N Walnut St Murfreesboro TN 37130,Good lead - 14 years in business - books through Booksy only - 4.7 stars 61 reviews
9,Top Notch Beauty and Barber,(615) 890-3438,NO WEBSITE,,1668 Middle Tennessee Blvd Murfreesboro TN 37130,Good lead - Booksy and Instagram only - listings show phone as (615) 890-3436; verify
10,Fades Blades,(615) 203-5313,NO WEBSITE,,1636 Middle Tennessee Blvd Murfreesboro TN 37130,Good lead - actual name is "Blades and Fades" - phone matches exactly
11,Nails So Happy,(615) 867-6368,HAS WEBSITE,nailssohappymufreesboro.com,2042 Lascassas Pike A3 Murfreesboro TN 37130,Two locations - site has booking and gallery pages
12,Fantasy Nails,(615) 849-1945,NO WEBSITE,,2063 Lascassas Pike Murfreesboro TN 37130,Good lead - Facebook and Booksy only - 20+ years in business
13,Ultra Nails,(615) 203-6295,NO WEBSITE,,2805 Old Fort Pkwy Ste J Murfreesboro TN 37128,Good lead - directory listings only
14,Dadi Nails,(615) 907-7075,WRONG NAME + HAS WEBSITE,davinails.com,2000 Old Fort Pkwy Murfreesboro TN 37129,No business by this name found; phone traces to Da Vi Nails - a chain with a website
15,Rose's Nail Salon,(615) 890-3001,HAS WEBSITE,rosesnailspa.com,1720 Old Fort Pkwy C100 Murfreesboro TN,In Stones River Town Centre
16,Zen Nail & Spa,(615) 203-5531,HAS WEBSITE,zennailsandspamurfreesboro.com,220 Veterans Pkwy H Murfreesboro TN 37128,Phone matches the site exactly
17,Vogue Nail Bar,(629) 201-6127,HAS WEBSITE,voguenailbarmurfreesboro.com,2855 Medical Center Pkwy Ste E Murfreesboro TN 37129,Also books through Vagaro
18,Vanity Nails And Spa,(615) 893-7772,HAS WEBSITE,vanitynailandspa.com,802 Medical Center Pkwy Ste B Murfreesboro TN 37129,Phone matches the site exactly
19,Dynasty Nails Design,(615) 867-9499,NO WEBSITE,,1004 Memorial Blvd Ste D Murfreesboro TN 37129,Good lead - Fresha and directory listings only - phone matches
20,The Powder Room Salon & Spa,(615) 319-4247,HAS WEBSITE,thepowderroomtn.com,321 W McKnight Dr Ste C Murfreesboro TN,Phone matches the site exactly
